date,Symbol,monthly_avg,monthly_base,compounded_total,index,Name,Exchange,Sector,Industry,DateAdded,Founded,City,State,Country,2021Price,2021Marketcap,2021Ebitda,2021Revenuegrowth,2021Fulltimeemployees
2016-09,SPGI,0.0012387916460117952,1.0378390856856847,5.758207171008058,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-10,SPGI,-0.0017793881281781224,0.9479730611951535,5.458625278896394,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-11,SPGI,-0.0010633973645938104,0.9685851358149777,5.287143307122935,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2016-12,SPGI,-0.00475275720053127,0.8668211374888919,4.583007575547084,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-01,SPGI,0.005637509808078289,1.183706190360875,5.424934437645869,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-02,SPGI,0.003958062409553279,1.125815313926524,6.107474266949095,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-03,SPGI,0.0004486156999633458,1.0135463850553093,6.19020846508458,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-04,SPGI,0.0014089357740095204,1.0431430558419645,6.457272974567125,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-05,SPGI,0.0028584458976657623,1.0894043176538668,7.034581058763054,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-06,SPGI,0.00104176858575624,1.0317297778905803,7.257786753310889,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
